,제목,작가,평점,내용,장르,이용연령가,연재요일
465,공유몽,주신 / 유령선,9.92,잠이 들면 또 다른 세계가 펼쳐진다!꿈을 빼앗긴 자들이 모이는 곳 ‘큐브’고유한 능력과 아이템을 부여받은 ‘큐버’존재하지 않았던 일곱 번째 형태의 아이템을 계승한 ‘도시언’의 성장 액션 먼치킨 판타지!,"스토리, 판타지",전체연령가,토
466,완벽한 부부는 없다,롱별 / 초이 / 이다홍,9.92,"남편의 이혼 요구를 피하고 싶은 연화는 갑작스러운 사고 후 기억을 잃은 척 연기하게 되는데… 차가웠던 남편이 갑자기 달라졌다! ""원래 당신이 이렇게 다정했나요?""​","스토리, 로맨스",15세 이용가,토
467,광해의 연인,러시 / 유오디아,9.91,"“내가 그랬지, 널 기억하겠다고.”2020년 대한민국. 집안 대대로 시간 여행자라는 특별한 능력을 갖고 있는 소녀 경민.갑작스러운 아버지의 죽음에 조선시대로 타임 슬립한 그녀는 그곳에서 27살의 광해군을 만난다. 오랫동안 누군가를 애타게 찾고 그리워했던 이야기, 400년의 시간을 뛰어넘은 두 사람의 특별한 사랑이 시작된다!","스토리, 로맨스",15세 이용가,토
468,메트로헌터,두엽 / 척준경,9.78,대한민국의 수도인 서울.지하철역 곳곳에서 정체를 알 수 없는 몬스터들이 나타났다.하지만 걱정하지 마라 이 위기에서 당신을 구원해 줄해결사들이 있으니까.우리는 그들을 ‘메트로 헌터’라고 부른다!,"스토리, 판타지",전체연령가,토
469,최면학교,박은혁,9.67,"'지금부터 당신은 최면에 빠집니다...'최면능력을 가진 주인공 김찬규는 여자에게 인기를 얻고 싶어 열심히 최면을 이용해보지만 매번 뜻대로 되지 않는다. 거듭되는 실패 속에 만난 비범한 능력의 소녀와 김찬규, 특별하지만 안타까운 그들의 이야기. 이것은 개그만화가 아닙니다!","스토리, 개그",15세 이용가,토
470,마법사가 죽음을 맞이하는 방법,박젶 / 주은설,9.96,"“이제 끝내고 싶어.”사악한 드래곤을 없애야 죽을 수 있다는 저주로 인해, 300년이라는 긴 시간을 살아온 대마법사 엔테. 마침내 드래곤을 물리치고 안식을 맞이했으나 눈을 뜬 곳은 사후세계가 아닌, 휘황찬란한 귀족 저택이었다. 더군다나 마법이라곤 로맨스 판타지 소설밖에 모르는 귀족 영애의 몸에 빙의되었는데...","스토리, 판타지",12세 이용가,토
471,최강부캐,직씨,9.51,"""새로운 나를 깨워라""체감형 VR MMORPG 게임 <에르고스피어 온라인>에서 ""힐러 셔틀""을 하던 고등학생 이오름은 어느날 자신이 남몰래 키워둔 최강의 부캐 ""어벤져""가 되어버리고 만다. 그리고 연이어 나타나는 몬스터들과 각종 퀘스트들. 이오름은 모든 위기를 이겨내고 새로운 내가 될 수 있을까. 본격 부캐 활극 현대 판타지.","스토리, 액션",15세 이용가,토
472,아이돌만 하고 싶었는데,고구렁 / 와플,9.94,"생방송 무대에서 쌍코피가 거하게 터진 뒤로 폭발적인 인기를 얻게 된 <유로파>의 멤버 빛나. 앞으로 승승장구할 생각에 들떠있던 것도 잠시, 그날 이후로 자신의 몸이 달라졌음을 알게 된다. <어웨이큰>의 멤버 찬선과 함께 주변에서 일어나는 수상한 일들을 파헤치게 되고 자신들이 위험한 일에 휘말렸다는 것도 알게 된다. 하지만 이제 와서 도망칠 수도 없는 상황. 피 튀기고 혼란스러운 일상 속에서 그들은 과연 끝까지 아이돌이란 신분을 지킬 수 있을까..?","스토리, 로맨스",15세 이용가,토
473,키스 식스 센스,조코봉 / 갓녀,9.93,"키스하는 순간 미래가 보인다!키스하면 미래가 보이는 예술은 실수로 상사 차민후 팀장의 목에 키스를 한다.그 순간 예술은 미래에 차민후와 함께있는 자신의 모습을 보게 되는데……그런데 왜 하필 침대에서 뒹구는 모습인 거야?!썸은 커녕 언젠가 회사 그만 둘 때 꼭 뒷통수 한 대 후려치고 갈 생각이었는데…!어떻게든 끔찍한 미래가 현실이 되지 않게 열심히 부정해보지만이 남자, 자꾸만 나한테 다가온다!원수보다 못한 우리 사이, 진짜 로맨스가 있긴 한 거야?!아슬아슬, 화끈한 초감각 로맨스 <키스 식스 센스>.","스토리, 로맨스",15세 이용가,토
474,은둔코인,HD3,9.7,"은둔형 외톨이이자 완포세대인 청년 '구석기'. 무리하게 투자한 코인은 떡락하고, 하루하루 무의미한 삶을 보내던 어느 날. 집에 처박혀 허송세월 흘려버린 날들을 능력치로 교환할 수 있는 기적의 '은둔코인' 앱을 얻게 되는데. 과연 석기는 포기하며 살아온 것들을 다시 손에 넣을 수 있을 것인가!","스토리, 드라마",전체연령가,토
475,시선 끝 브로콜리,모차,9.96,"대인기피증을 가진 유채는 혼자가 편하다.하지만 같은 과 친구 누리의 집요함으로 원치 않는 동아리 활동을 하게 될 위기에 놓이게 된다. 하지만 자신이 꿈꾸던 완벽한 보더콜리의 탈을 쓴 건오를 만나게 되고,자신도 모르게 동아리 활동을 수락 해버린 유채.친구들에게 끌려간 회식자리에서 갑자기 주변 사람들의 모습이 다 개로 보이게 된다.뭐야 탈이 아니였어?","스토리, 드라마",전체연령가,토
476,전생연분,재아 / HAE,9.97,"'내가 후궁에게 살해당한 조선의 왕비?!'시험을 보다가 갑자기 전생을 떠올리게 된 민주.크게 당황하지만, 전생보다 중요한 것은 대입이었기에 애써 마음을 추스른다.하지만 전생의 철천지 원수였던 후궁이 민주를 찾아오고뒤이어 전생에 남편이었던 왕까지 나타나면서 민주의 수험생활은 위기를 맞는데....'전생이고 나발이고 제발 공부 좀 하자!!'","스토리, 로맨스",15세 이용가,토
477,복수를 위한 결혼동맹,EMMA / 윤희사,9.96,"황제인 남편의 음모로 죽은 론 제국의 황후 올리비아는 빈민가에 살던 이름 모를 여인의 몸으로 다시 깨어난다.그 후 도착한 곳은 결별한 전 약혼자이자, 쿠데타로 자리를 빼앗긴 '진짜' 황위 계승자 루카스의 공작 저.올리비아는 정체를 숨기고 루카스에게 제안한다. 서로의 복수를 위한 결혼 동맹을 맺자고.두 사람의 복수는 무사히 성공할 수 있을까?","스토리, 로맨스",12세 이용가,토
478,적월의 나라,박신 / 신동구,9.79,"일종의 초능력인 글리아 능력을 가진 조직원들을 동원,대통령조차 무릎 꿇게 만드는 절대 조직 ‘적월’!이 나라는 이미 ‘적월의 나라’다.악의 근원인 적월을 무너뜨릴 방법을 찾던 정부는적월 총수 신영우에 버금가는 글리아 잠재력을 지닌 류시환을 발견하고,그의 피를 이용하여 젊어지는 신약을 개발한다.그 신약으로 과거의 신영우를 궁지에 몰아넣었던 전대의 고수들,4대 악인을 전성기 시절로 되돌리는데…4대 악인은 과연 류시환의 잠재력을 끌어올려서적월을 무너뜨릴 수 있을 것인가?","스토리, 액션",15세 이용가,토
479,소년 검사,혁씨,9.72,"세계적으로 주목받는 VR 온라인 게임, '퀘스트 히어로'. 이곳의 네임드 유저인 '하랑'은 알 수 없는 검은 형체에 이끌려 다른 세계로 끌려간다. 아무리 시도해 봐도 로그아웃은 되지 않고, 설상가상으로 공격까지 당하게 되는데... '진짜'로 아픔이 느껴지는 것도 모자라, NPC 유타가 아닌 '진짜' 유타까지 만난다. 과연 하랑은 '7번의 퀘스트'를 모두 완료하고, 무사히 집으로 돌아갈 수 있을까!? 낯선 세계에 떨어진 '소년 검사' 하랑의 여정이 시작된다!","스토리, 판타지",15세 이용가,토
480,겨울특강,곤세,9.78,가난하다는 이유로 힘을 숨기고 일진들의 괴롭힘을 참아내는 고등학생 한길은아르바이트를 하고 집으로 돌아가던 길에 도깨비 방망이를 쓰는 사람들을 보게 된다.그들로부터 도깨비 방망이를 훔치는데 성공한 한길은 이제 돈 걱정 없이 살 수 있을 줄 알았지만인간의 탈을 쓴 괴물들 ‘야인’과 야인들을 사냥하는 조직 ‘꾼’들의 세계에 엮이게 된다.가진 거라곤 힘밖에 없던 소년 한길은 또다른 인생의 챕터에 들어서게 되는데...,"스토리, 판타지",15세 이용가,토
481,배달의 신,명랑 / 신얼,9.94,이승으로 쫓겨난 개념 없는 신의 아들 ‘달수’소꿉친구이자 황천에서 손맛 알아주는 셰프 ‘리사’와 함께 황천으로 돌아가기 위한 행복 맛집 배달을 시작한다!,"스토리, 드라마",전체연령가,토
482,중매쟁이 아가 황녀님,박카린 / 지미신,9.94,"피폐 소설 속 아가 황녀로 환생하게 된 주인공은,자신을 키우면서 고생하는 이모를 위해 폭군 남주인 삼촌이 있는 궁으로 들어설 결심을 한다.그런데 실제로 만난 삼촌은, 그저 애정결핍이 쪼~끔 있어보일 뿐인데..?이모도 사랑하고 삼촌도 사랑하는, 아가 황녀님의 러블리 중매 소동","스토리, 로맨스",전체연령가,토
483,왕년엔 용사님,고샤 / 솔렘,9.95,"동네 슈퍼 아줌마 '명옥'에게어딘가 낯익은 불청객이 찾아온다.""뭐?! 마왕을 봉인해달라니, 난 올해로 49살이라고!!""2019 최강자전 대상 수상작!","스토리, 판타지",전체연령가,토
484,용두사망 소설 속의 악녀가 되었다,하견 / 너구리 / 윤림,9.96,"엔딩 직전 느닷없이 제국이 멸망하는 '용두사망' 소설 속 악녀에게 빙의했다. 마계 침략으로부터 살아남기 위해 망명을 계획하지만침략의 원흉이자 마왕의 정체를 숨기고 있는 남자, 아르비스 대공이100년을 기다렸다며 애절한 고백을 털어 놓는데···. 나, 이 용두사망 소설 속에서 살아남을 수 있을까?","스토리, 로맨스",전체연령가,토
485,모두 너였다,이순기 / 오정호 / 이재익,9.96,"근 미래, 생체공학박사이자 클론 테스터 '유리'는 남편의 외도로 하루하루를 고통 속에 살고 있다.그러던 어느 날, 한달 후 폐기될 운명의 최신형 연애클론 '빅터'를 테스트하기 시작한다. 그녀는 어느샌가 빅터로부터 마음의 위안을 얻는 한편, 남편이 자신에게 저지른 끔찍한 일들을 깨닫게 되는데...!","스토리, 로맨스",12세 이용가,토
486,도사 가온,김상민,9.92,도사가 되고픈 소년 가온과 무명도사의 도술액션 모험판타지!,"스토리, 판타지",전체연령가,토
487,아가사,이다인,9.93,"‘다만 너를 사랑한 것이 나의 죄였다...’그저 사랑하는 이와의 자유로운 일생을 꿈꾸었던 왕비 '아가사'.두 눈이 가려진 채 살아온 그녀 앞에, 은밀하게 감춰져 왔던 왕국의 비밀들이 드러나게 되는데... 어둠 속 마주한 진실의 끝자락.배신과 암투, 갈망과 사랑, 인간적인 고뇌와 선택... 과연 그녀는 무너지지 않고 여명의 끝자락을 붙잡을 수 있을까.","스토리, 드라마",12세 이용가,토
488,"다비, 아찔하게 흐르는",소프트콘 / 이은비,9.97,"압록강 이북에서 찻잎을 파는 심 다점의 주인 '단이'는 한 남자의 도움으로 목숨을 건지게 된다. 목숨을 구해준 남자의 정체는 여진족이라면 가차 없이 베어버리는 냉혈인,저주받은 북방 귀신이라 불리는 조선의 장군 '서 결'.저주를 받아 물 대신 독한 차만 마실 수 있는 그는,아이들을 끌고 가 자신의 차를 끓이는 다동으로 삼고 잡아먹는다고 하는데...그런 그의 다동... 아니 다비로 거두어지게 된 단이는 북방 귀신의 집에서 무사히 지낼 수 있을까?!","스토리, 로맨스",15세 이용가,토
489,청춘일지,쏘림,9.93,지긋지긋한 재수생활을 딛고 설레는 마음으로 들어선 대학.대학에 대한 로망이 백만 가지쯤 되는 다봄은 첫날부터 빌런과 마주하게 되는데…시작부터 어딘가 삐걱! 이대로 내 캠퍼스 생활 괜찮은 걸까?!,"스토리, 로맨스",전체연령가,토
490,7FATES: CHAKHO,HYBE,8.4,"타락한 도시 신시, 길에서 마주친 수수께끼의 사내가 제하에게 의문의 말을 던진다.하지만 병원에서 깨어난 제하는 그날의 일을 기억하지 못하고...현세에 존재해선 안될 범이라는 존재들이 도시를 재앙으로 물들일 때, 일곱개의 운명이 엮어져, 그들에 맞서기 위해 무기를 든다. 이제 범을 사냥할 시간이다.","스토리, 판타지",12세 이용가,토
491,키스의 여왕,영영이 / 이재익,9.93,"누구라도 보는 순간 키스하고 싶게 만드는 여자, ‘키스의 여왕’이라는 별명을 가진 월드스타 손유리는 IT 업계의 억만장자 데이브 천과의 드라마틱한 열애 후 성대한 결혼식을 올린다.평범한 신혼여행을 거부하고 지상 최고의 허니문 여행을 떠난 그녀는 로맨틱한 첫날밤에 미친 사랑과 거대한 운명의 폭풍에 휩싸이게 되는데…“당신이 알던 그 남자는 죽었어.”","스토리, 로맨스",15세 이용가,토
492,사서고생!,몽실,9.94,"이름 안은수, 나이 23세, 대기업 고졸 정규직, 4년차 직장인.재미는 없어도 무소식이 희소식인 법. 이대로만 살면 더 바랄 게 없는 일상이었지만 주변 상황들은 그런 은수를 가만히 내버려두지 않고..사서 고생, 살아서 고생! 제대로된 어른이 되고 싶은 애어른 안은수의 청춘성장드라마!","에피소드, 드라마",전체연령가,토
493,스트릿 워크아웃,장부규,9.88,한 때는 세계 최고의 비보이라는 꿈을 좇았지만 사고로 인해 꿈과 희망을 모두 잃어버린 고등학생 백동희. 어느 날 우연히 맨몸 운동 소녀 권지니를 만나고 멈춰있던 그의 인생이 다시 움직이기 시작한다.,"스토리, 스포츠",전체연령가,토
494,밤을 깨우는 마법,외딴,9.96,해와 달이 사라져 영원한 밤에 갇힌 숲의 왕국 아르타. 마법 때문에 망한 왕국에서 하필 마법사로 태어난 루시는 도망치는 삶을 살아간다. 우연히 왕국 기사 하일에게 정체를 들키고 만 루시.이제 죽는 줄 알았는데... 되려 '공주를 구해달라'는 뜻밖의 제안을 받게 된다. 쓸모없다 여겨온 마법이 저주를 풀 열쇠가 될 수 있을까?,"스토리, 판타지",전체연령가,토
495,아침을 지나 밤으로,손지은,9.95,'사과나무의 대가로 48일간 아이를 빌려가겠습니다'기묘한 편지와 함께 사라진 동생 녹스를 찾아 헤매는 마네의 모험을 그린 정통 판타지2019년 네이버웹툰 최강자전 2위 수상작!,"스토리, 판타지",전체연령가,토
496,이건 그냥 연애 이야기,이재이,9.86,이제 막 연애를 시작한 세인은 뜨거운 사랑을 꿈꾸지만 어쩐지 유준과의 연애는 미지근하기만 하다.연애의 불씨를 살리기 위해 고군분투하는 세인과 알 수 없는 태도의 유준.거기다 자꾸만 엮이게 되는 윗집 남자 이겸까지.순탄하지 않은 세인의 이건 그냥 연애 이야기.,"스토리, 로맨스",12세 이용가,토
497,보고 있지?,송범규,8.49,"취준생이라 말하고 힙찔이로 사는 노답인생, 희목. 눈 없는 남자가 눈을 찌르는 악몽을 꾼 다음날, 여자친구 은혜와 주말 데이트를 하고 원룸에서 함께 잠이 드는데, 다음 날, 희목은 뉴스에 나오는 희대의 쓰레기가 되었다. 희목의 눈으로 찍힌 모든 광경들이 인터넷에 스트리밍 되었고, 그 안엔 어제 은혜와 보낸 밤도 포함되어 있었기 때문에... ​SNS에서 퍼진 스트리밍 영상은 뉴튜버들을 몰고 왔고, 세상 사람 모두가 정의 구현을 외치며 희목을 쫓는다. 희목은 뉴튜버와 사람들의 추적을 피해 은혜와 오해를 풀 수 있을까? 그리고 희목은 스트리밍의 저주에서 벗어날 수 있을까?","스토리, 드라마",15세 이용가,토
498,보듬보듬,라라시스터,9.79,온 마을의 주치의를 자처하는 오지랖 의사 강초이와 무책임 야반도주 간호사 한새는 원팀이 되어 병원 밖 환자들을 왕진한다.그런데 왕진이란게 그냥 환자만 돌보면 되는거 아니었나? 왜 자꾸 예측 불가한 일들만 벌어지는건데!,"스토리, 드라마",전체연령가,토
499,좋아해 아니 싫어해,지지,9.37,"이제 막 군대를 전역해 복학을 하게 된 김 민.부푼 기대감을 안고 들어간 첫 수업에서 이유도 없이 이별을 고해 트라우마를 안겼던'보라'를 만나게 된다. 아무 일도 없었다는 듯이 그의 앞에 나타나 뻔뻔하게 행동하는그녀를 보며 화도 나지만 미묘한 설렘 또한 감출 수 없는 민,'좋아해... 아니 싫어해...'아직은 모든 것이 미숙한 민이의 성장 캠퍼스 로맨스.","스토리, 로맨스",15세 이용가,토
500,실버 쥬얼,찬2,9.82,"마법사들이 살고있는 미지의 이웃나라, '마나라'에 파견된 '김범'.'마나라'의 평화를 책임진다는 보물 '실버 쥬얼'을 탐사하는 임무를 받았건만...웬 할머니 마법사가 '실버 쥬얼'이라고 하질 않나, 친절했던 마법사가 갑자기 공격하질 않나,과연 김범은 임무를 무사히 마치고 본국으로 금의환향 할 수 있을 것인가...?!","스토리, 판타지",12세 이용가,토
501,숨겨진 성녀,야마겟돈 / 연슬아,9.92,"오래 전, 성녀를 사랑했던 성기사가 있었다. 사사로운 감정을 가지면 안 되는 성녀에게 해가 될까 그는 늘 한 발짝 떨어져서 성녀를 지켰다. 하지만 성녀는 결국 성기사의 품에서 최후를 맞이하고, 성기사는 비통하게 맹세했다. ‘제게 다음 생이 있다면, 그때는 당신을 성녀로 살게 하지 않겠습니다.’ 기나긴 300년의 시간이 흘러, 성녀는 다시태어났다. 이번 생에는 두사람의 염원이 이루어질 수 있을까?","스토리, 로맨스",전체연령가,토
502,약한영웅,서패스 / 김진석,9.82,"“비겁하다…? 애초에 동등한 시작이 아닌데... 체급도 쪽수도 안 맞잖아- 이 X끼들아!!”선천적으로 약한 소년이 상대보다 몇 수 앞을 예측하는 심리전과지형지물을 이용하고, 도구로 살벌하게 끝장내는 파이터로 성장한다.이제 그의 또 다른 이름은 '은장백사'다.","에피소드, 액션",15세 이용가,일
503,싸움독학,박태준 만화회사 / 김정현...,9.71,힘없고 가진거 하나 없이 맞고만 살던 나였는데...우연히 비밀의 뉴튜브를 발견하게 되고 갑자기 떼돈을 벌었다.,"스토리, 액션",15세 이용가,일
504,입학용병,YC / 락현,9.89,"어린 시절 비행기 추락 사고의 유일한 생존자 유이진. 살아남기 위해 용병으로 살아가던 유이진은 10년 후, 가족이 있는 고향으로 돌아왔다.","스토리, 액션",12세 이용가,일
505,사형소년,"박태준만화회사, 김숭늉 /...",9.9,대한민국을 뒤흔든 희대의 연쇄살인마 김신! 김신에게 가족을 잃은 지후는 또 다른 피해자 두석을 만나 인간병기로 훈련된다.그리고 살인마를 맨주먹으로 때려죽이기 위해 스스로 교도소로 향하는데...'우리나라는 97년 이후로 사형집행이 되지 않았어. 누군가는 집행해야 하지 않을까?',"스토리, 스릴러",15세 이용가,일
506,독립일기,자까,9.97,처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,"에피소드, 일상",전체연령가,일
507,수희0(tngmlek0),생일기분,9.91,"가난한 집안, 어려운 형편에도 굴하지 않고 꿋꿋이 살아 가는 회사원 조수희.우연한 계기로 인터넷 방송을 시작하게 된다.처음엔 별 생각 없이 시작했던 인터넷 방송이 점차 수희의 삶의 균형을 무너뜨리게 되는데...","스토리, 드라마",12세 이용가,일
508,시월드가 내게 집착한다,승우 / 한윤설,9.98,"사랑했던 가족들이 나를 죽였다.과거로 돌아온 나는 내 목숨과 유산을 지키기로 결심하고 라피레온 대공을 찾아갔다.그런데 이 대공가, 심상치 않다.무사히 복수를 마치고, 이혼할 수 있을까?","스토리, 로맨스",15세 이용가,일
509,자매전쟁,기맹기,9.96,"단 하나로 인정받고 싶었던 두 소녀, 예술고등학교 1등과 2등을 앞다투는 '원리온'과 '추해라'.'진짜'가 되기 위한 천재 소녀들의 치명적인 전쟁이 시작된다.","스토리, 드라마",12세 이용가,일
510,천하제일인,권순규 / 신권이,9.82,"걸렸다하면 영혼까지 탈탈 털어 참교육 시켜주시는 화악골 심부름꾼, 소마.가공할 마령성의 위협으로부터 화악골을 지켜야 하는데...​지킬 수... 있을까??","스토리, 무협/사극",전체연령가,일
511,소녀재판,루즌아 / 보로콤,9.88,학교에서 아무것도 아니었던 소녀의 예측불허 재판이 시작된다!평범한 박가을은 소위 '잘나가는 그룹'에 속하는 한유현의 비밀스러운 사건을 목격하고이를 이용해 한유현을 협박해서 본인이 동경했던 그룹에 속하고 싶어하는데...,"스토리, 드라마",15세 이용가,일
512,이세계 용사가 지구를 구하는 이유,자린고비인,9.55,"시스템이 등장한 각성의 밤 이후, 모두가 마나를 가지게 된 세상.그러나 홀로 마나가 없어 던전의 짐꾼으로 근근히 생활을 이어가던 수정은 자신이 이세계에서 온 용사라고 주장하는 아이를 만난다.용사가 지닌 수수께끼의 강력한 힘. 용사를 만난 이후 생겨난 가슴 뛰는 인생 첫 스킬.지구를 구하라는 사명만을 기억하는 엉뚱한 용사와 함께 수정은 원하는 목적을 이룰 수 있을까?","스토리, 판타지",15세 이용가,일
513,아카데미에 위장취업당했다,타나 / WAG / say...,9.96,제국에서 제일가는 마법 아카데미의 교사가 되었다.…다른 사람과 착각당해서.그 어느 쪽에도 정체를 들켜선 안 되는 상황.이 아슬아슬한 외줄 타기의 끝은 어디일까.,"스토리, 판타지",12세 이용가,일
514,노빠꾸 최하영,우엉이,9.35,고등학교에서도 담당일진을 만나안그래도 흉흉했던 학교 생활이 옆집 노빠꾸 전학생때문에 더 꼬였다!내 학교 생활은 앞으로 어떻게 되는거지?!,"스토리, 액션",12세 이용가,일
515,"안녕, 나의 수집",하린,9.95,슈퍼 '맥시멀리스트'였던 내가 어느 날 '미니멀리즘'에 눈을 떴다?! 이것저것 사 모으는 걸 좋아했던 맥시멀리스트 '무주'.어느 날 포화상태가 된 방을 보고 '이대론 안되겠다'라는 생각이 들었다. 저마다 다양한 사연을 갖고 있는 물건들을 비워내며 미니멀리스트가 되려 하는 무주와 물건의 이야기!,"에피소드, 일상",전체연령가,일
516,분신으로 자동사냥,차씨 / 오팔 / 몽식夢食,9.4,"일해야 하고, 공부도 해야 하고, 밥도 먹어야 하고.‘왜 사람은 한 번에 한 가지 일밖에 못 하는 걸까.’상우는 항상 자신의 몸이 두 개였으면 좋겠다고 생각했다...그랬더니 몸이 두 개가 되었다.","스토리, 판타지",12세 이용가,일
517,무서운게 딱좋아!,이동규,9.91,"90년대 생이면 누구나 아는 추억의 공포 만화 <무서운게 딱좋아!>.당시의 독자들이 선정한 베스트 of 베스트 에피소드들을 모아,2021년 웹툰으로 돌아왔다!","옴니버스, 스릴러",전체연령가,일
518,판사 이한영,문성호 / 전돌돌 / 이해날,9.93,"법정 안에서 정의를 실현할 수 있다고 믿었던 판사 이한영은 상관의 명령을 따르지 않고 재벌에게  실형 선고를 내렸다가 살해당하고 만다. 하지만 어렸을 적 들었던 땡중의 헛소리 때문일까? 이한영은 모든 기억을 가지고 두 번째 삶의 기회를 얻는다. 오로지 정의밖에 모르는 사법부의 이단아 이한영, 세상이 그를 필요로 한다.","스토리, 드라마",15세 이용가,일
519,살아남은 로맨스,이연,9.98,"로맨스 소설에 빙의해 행복한 삶을 살던 채린.그녀의 눈에 남자주인공인 '제하' 외에는 모두 검은색 그림자로밖에 보이지 않는다.그리고 갑자기 바뀐 소설의 장르. 살아남으려면 엑스트라들과 손을 잡아야 한다!!<화장 지워주는 남자> 이연 작가의 차기작, 세상에 이런 장르는 없었다!","스토리, 판타지",15세 이용가,일
520,내일,라마,9.97,"다 되는데 취업만은 안되는 취준생 최준웅(27세,남)우연한 사고로 저승독점기업 주마등의 저승차사들을 만나게되고 특별 위기관리팀의 계약직 막내로 일하며 위기에 처한 사람들을 돕게 되는데.","옴니버스, 드라마",전체연령가,일
521,경자 전성시대,김호드,9.89,"<연애의 정령> 김호드 작가 신작. 남들보다 강한 그녀, 육경자가 돌아왔다!!연인과 헤어지고 취업도 번번이 실패하며 힘든 하루를 보내던 경자는 '더 쉴드'라는 대기업으로부터 스카우트 제안을 받게 된다.학벌도 빽(?)도 없는 경자는 의아해하지만 따뜻하고 안락한 실내 사무직을 꿈꾸며 면접을 보러 가는데...회사도 직원들도 면접자들도 모두 심상치 않다?!","스토리, 개그",15세 이용가,일
522,폰투스 : 극야2,운 / 한큰빛,9.94,"<극야> 시즌2.남극 글로벌 과학기지의 참사 2주 후.미국 국적 연구쇄빙선 ‘폰투스’호는 과학기지 참사의 생존자인차동환, 사야카, 노조미, 리메이린, 왕가오창, 이상현, 김경한, 정세인 8인과유일한 생존 감염자 천기욱을 싣고 뉴욕 맨해튼 항구를 향해 향하던 중태평양 한복판에서 또 한 번의 끔찍한 비극이 시작된다.","스토리, 스릴러",15세 이용가,일
523,마법스크롤 상인 지오,엄재경 / 호패,9.96,"마법사인 듯, 마법사 아닌마법사 같은 너! 오지오!","스토리, 판타지",12세 이용가,일
524,가비지타임,2사장,9.96,"한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?","스토리, 스포츠",전체연령가,일
525,일타강사 백사부,팀 더 지크 / 오리보리 ...,9.95,"혈교 최고의 무공 교관, 시골 무관의 사부로 환생하다. 그리고 정파 무림의 일타강사로!이름하여 백 사부.그가 이제 전 무림을 참교육한다!","스토리, 무협/사극",12세 이용가,일
526,칼끝에 입술,핀쿠 / 뫄과 / 윤슬,9.95,"제국의 미친개, 역대 최강의 기사 아르네. 그녀는 부모님의 성화에 어쩔 수 없이 결혼을 하게 된다.""남편이 맘에 안 들면 죽이고 돌아와야지.""하지만 누구도 남편이 이렇게 잘생겼다고 말 안 해줬잖아?“당신이 유리 같아서 깨질까 봐 불안해.”게다가 남편이 나를 연약한 도자기처럼 대하는데?전혀 약하지 않은 아르네와, 전전긍긍 집착남편 카시안.오해와 오해가 겹치는 아슬아슬 착각 로맨스!","스토리, 로맨스",전체연령가,일
527,어느날 갑자기 서울은,박창근,9.87,'닿는 순간 먹이가 된다.' 어느 날 갑자기 서울을 덮친 끔찍한 변이 바이러스! 서울로 수학여행을 온 연우는 평소 짝사랑하던 같은 반 소연과 친해질 수 있다는 생각에 설렌다. 그때 서울 관광 중인 연우네 반 앞에 나타난 정체불명의 세포들. 접촉하면 감염자를 흉측한 모습으로 변이시켜버리는 세포들 때문에 연우와 같은 반 친구들의 수학 여행은 지옥으로 바뀌어버리는데...! 연우는 무사히 서울을 벗어날 수 있을까?,"스토리, 스릴러",15세 이용가,일
528,합격시켜주세용,이온,9.98,천년째 용이 되려는 수험생 바리와전설의 과외선생 찬영이의 낙동강 용 합격 수기,"스토리, 판타지",전체연령가,일
529,인생영화,희나리,9.86,"누군가 미래에서 내 영화를 훔쳐 왔다! 우연히 미래로 가게 된 아람은 그곳에서 인상적인 영화를 보고 돌아와 그대로 영화를 만들지만, 그 작품은 현재 영화과 학생인 가은과 우빈이 이제 막 시나리오를 완성한 작품이었다. 이 사실을 깨달은 아람은 자기 작품을 만들고 싶은 욕망에 사로잡혀 가은과 우빈을 제거하려고 한다. 가은과 우빈은 살기 위해, 그리고 아람에게 도둑맞은 그들의 미래와 소중한 작품을 되찾기 위해, 아람과 맞서 싸운다.","스토리, 스릴러",15세 이용가,일
530,여신님의 호랑이 공략법,아완 / 청라,9.9,"연인에게 배신당해 비참한 죽음을 맞은 태양신 모하. 모하는 자신이 정체 모를 여인의 몸에 빙의 된 채, 1년 전 과거로 돌아와있음을 깨닫게 된다. 지난 생의 비극을 막기 위해 고군분투하는 모하. 하지만 예기치 못하게 과거 자신의 수하였던 두 마리의 호랑이 신수가 그녀를 향해 열렬한 구애를 펼쳐오는데.","스토리, 로맨스",15세 이용가,일
531,장풍전,신영우,9.94,"세상 모두가 내공을 가질 수 있는 시대.아직까진 고수라는 존재의 의미가 없지만,세상 한편에선 옛 고서나 체계적인 연구로 인해 인간의 능력을 월등히뛰어넘는 고수들이 만들어지고 있다.​세상에 공개된 내공수련법 이외에 다른 고서들이 있었고,비밀리에 빼돌려진 무공비급들로 인해 점차 무서운 괴물들이 탄생한다.이들은 개인적인 일탈로 사건을 일으키기도 하고,문파라는 미명하에 조직을 결성해 힘을 키우며,거대 자본의 어두운 뒷치닥거리도 서슴치 않는데...","스토리, 액션",15세 이용가,일
